LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,P stuck,P diffusive,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2008,2008,0,40684.0,233.07853314169418,271.22950218869903,0.0,0.0,0,113.82306371078563,1,,254.4611528822055,255.0,0.0,255.0,1.035606E7,11.709783431146523,,,0.9989008598359694,21.71869644255041,0.2696675369933428,0.14204988367353244,121.95689612010983,106.3086430650626,-0.01349037441107633,1.1471964329887105,40701.50000000003,857.5545579093543,0.6954994001842758,0.9719064902812939,4.250661800192898
ID2006,2006,0,41013.0,234.52383158202696,271.2417737360932,0.0,1.0,1,114.26336508960571,1,,254.39697206104637,255.0,0.0,255.0,1.0434855E7,12.385968749263123,,,0.9985998730925967,20.52473717801351,0.22951965729779716,0.5194615591819192,121.72221011646009,107.63023565189386,-0.011414688200721513,1.1309295141761428,41016.99999999995,869.6484888500825,0.6815320178342523,0.9679870673888149,4.293997628833151
ID2007,2007,0,41268.0,234.36945383872543,270.7473261653959,0.0,2.0,2,114.5853626788871,1,,254.43752272451823,255.0,0.0,255.0,1.049682E7,11.963226725603397,,,0.9982844918314197,21.250043685541137,0.2232249016308825,0.2956207031336155,122.32035536471082,107.66982520297464,-0.032218244096931345,1.1360690438023617,41248.50000000001,883.2173365527334,0.6644814381860398,0.9693213328946754,4.3487406213329525
ID2013,2013,0,41291.0,233.62725643788517,270.5241130630249,0.0,3.0,3,114.65478984569855,1,,254.33933025012712,255.0,0.0,255.0,1.050396E7,12.962961487385815,,,0.9983828518108804,19.60458741500977,-0.7763122126768259,-0.8575366769345003,121.56024164643436,107.04991495918867,-0.058553970918272,1.1355472976580836,41298.50000000006,916.5573354972827,0.6177672297414548,0.9658773314623181,4.5101657079288024
ID2002,2002,0,41275.0,234.5628886627578,270.5199762562388,0.0,4.0,4,114.6207757884659,1,,254.32650835958324,255.0,0.0,255.0,1.0496055E7,13.08781600618972,,,0.9982524691521585,19.415316672435154,-0.7133606880111883,-0.3753772820916248,121.88518988433948,106.75887197861522,-0.07118222009249917,1.1416867528232615,41273.999999999985,896.1028402922665,0.6459080781061987,0.9680778702943589,4.4108224255391075
ID2012,2012,0,41336.0,235.0893996750642,270.6964168369959,0.0,5.0,5,114.71446360275236,1,,254.0376660134988,255.0,0.0,255.0,1.0501155E7,15.635696148526947,,,0.9984634227786631,16.234796282255147,-0.15441480147236417,0.8107237955932532,122.32400622078636,107.97354421476899,3.127270624380585,1.13290720528237,41341.50000000004,856.3604966120511,0.7084069992483266,0.9704235766346262,4.211758977694514
ID2010,2010,0,41369.0,235.44831881954522,271.01035720045155,0.0,6.0,6,114.71238248261562,1,,254.26603618421052,255.0,0.0,255.0,1.0512375E7,13.661134072168302,,,0.9981256922800927,18.594907635375833,0.08374061595776897,0.3734291367916395,123.43106058800339,106.58896137454593,-0.005449513456707068,1.15800978822071,41339.99999999998,849.9387219455419,0.7191261893546548,0.9710493863409471,4.180251191698844
